date,precipitation_sum_open,temperature_2m_mean_open,temperature_2m_max_open,temperature_2m_min_open,relative_humidity_2m_mean_open,precipitation_sum_nasa,temperature_2m_mean_nasa,temperature_2m_max_nasa,temperature_2m_min_nasa,relative_humidity_2m_mean_nasa,year,month,season
1991-03-31,7.15,18.65,25.700000000000003,14.600000000000001,75.0,0.0,26.81,34.39,20.21,35.27,1991,3,MAM
1991-04-01,13.5,18.625,24.675,14.225,75.0,0.0,25.05,32.84,19.31,36.34,1991,4,MAM
1991-04-02,22.1,15.875,20.0,12.625,83.0,5.91,24.73,32.7,18.36,37.86,1991,4,MAM
1991-04-03,1.05,17.475,21.9,12.525,70.5,0.67,23.16,30.64,16.18,38.8,1991,4,MAM
1991-04-04,0.5,19.375,25.95,12.525,65.5,0.52,22.76,31.4,15.3,38.62,1991,4,MAM
1991-04-05,2.9,19.35,25.85,13.275,72.5,0.0,23.11,32.04,15.13,37.85,1991,4,MAM
1991-04-06,8.7,17.625,22.325,14.175,80.0,0.0,22.23,30.36,15.94,39.72,1991,4,MAM
1991-04-07,13.15,16.425,20.575,13.625,83.25,0.08,22.18,29.7,16.05,45.81,1991,4,MAM
1991-04-08,37.099999999999994,14.8,17.5,13.0,89.0,0.64,16.34,18.75,12.93,69.54,1991,4,MAM
1991-04-09,12.149999999999999,14.425,17.55,11.25,84.25,5.68,16.25,21.71,12.33,65.57,1991,4,MAM
1991-04-10,0.55,15.475,20.35,9.975,72.75,1.83,18.4,26.39,10.97,51.85,1991,4,MAM
1991-04-11,0.3,17.7,23.125,9.225,65.5,3.77,19.56,26.74,11.34,45.47,1991,4,MAM
1991-04-12,20.4,16.55,20.05,13.575,81.5,0.0,19.25,24.31,14.84,50.25,1991,4,MAM
1991-04-13,31.0,15.8,19.825000000000003,13.15,87.25,0.0,17.86,24.88,13.42,60.69,1991,4,MAM
1991-04-14,42.45,13.825,17.2,12.075,86.5,7.17,19.17,25.15,14.12,56.66,1991,4,MAM
1991-04-15,21.15,12.7,16.075,8.225,84.0,23.82,19.17,25.17,13.28,51.54,1991,4,MAM
1991-04-16,0.0,14.225,19.95,7.6,63.75,0.44,18.64,25.5,10.75,39.56,1991,4,MAM
1991-04-17,0.0,15.675,22.725,7.55,60.25,0.0,18.61,27.85,9.76,32.65,1991,4,MAM
1991-04-18,0.0,17.4,25.35,8.225,59.25,0.0,21.45,31.39,11.88,27.04,1991,4,MAM
1991-04-19,0.0,18.825,27.075,8.7,59.5,0.0,24.35,33.36,13.43,24.29,1991,4,MAM
1991-04-20,0.0,20.55,27.8,11.025,59.0,0.0,24.64,33.3,14.52,30.12,1991,4,MAM
1991-04-21,0.9,19.45,24.05,14.3,62.0,0.0,24.38,31.21,18.8,38.47,1991,4,MAM
1991-04-22,2.5,19.55,25.05,13.875,65.25,0.01,24.78,33.85,16.35,40.74,1991,4,MAM
1991-04-23,0.05,19.4,24.725,13.8,72.5,0.26,24.22,32.3,16.45,38.2,1991,4,MAM
1991-04-24,0.0,20.65,26.975,13.45,68.0,0.01,25.0,33.61,15.69,33.54,1991,4,MAM
1991-04-25,0.0,21.375,28.425,14.05,59.75,0.0,26.42,35.15,16.77,28.28,1991,4,MAM
1991-04-26,0.0,21.95,29.3,13.65,59.25,0.0,27.47,35.92,18.74,28.2,1991,4,MAM
1991-04-27,0.0,22.2,29.225,14.825,59.25,0.0,27.25,36.33,19.11,29.89,1991,4,MAM
1991-04-28,0.0,21.45,27.8,14.275,58.75,0.0,26.52,35.05,17.76,28.86,1991,4,MAM
1991-04-29,0.0,23.475,30.55,14.8,55.25,0.0,28.56,37.42,19.21,27.56,1991,4,MAM
1991-04-30,0.1,24.075,31.15,15.775,52.75,0.0,29.72,38.25,20.08,22.94,1991,4,MAM
1991-05-01,0.95,21.85,27.925,16.175,59.5,0.0,30.0,37.61,21.61,22.93,1991,5,MAM
1991-05-02,2.05,20.3,26.725,13.675,62.0,0.0,28.5,36.31,21.22,21.66,1991,5,MAM
1991-05-03,0.0,22.05,28.35,13.375,56.0,0.0,27.33,35.38,17.6,24.1,1991,5,MAM
1991-05-04,0.15,23.625,30.0,15.15,51.25,0.0,27.96,36.98,19.48,19.39,1991,5,MAM
1991-05-05,2.15,21.8,26.375,16.275,64.25,0.0,28.21,35.27,21.42,25.21,1991,5,MAM
1991-05-06,0.0,23.225,28.55,16.4,64.75,0.0,28.74,36.5,20.97,24.86,1991,5,MAM
1991-05-07,0.55,24.25,29.575,17.7,58.5,0.05,29.47,37.63,21.06,24.46,1991,5,MAM
1991-05-08,3.9,22.85,28.7,16.575,62.0,0.0,28.25,35.39,22.95,26.76,1991,5,MAM
1991-05-09,5.2,22.65,28.975,16.3,61.25,0.0,29.73,37.87,21.35,20.46,1991,5,MAM
1991-05-10,7.3500000000000005,20.325,24.625,15.475,70.25,0.0,29.14,36.03,22.59,15.74,1991,5,MAM
1991-05-11,0.0,22.625,28.5,15.225000000000001,59.0,0.0,28.45,35.91,20.86,12.3,1991,5,MAM
1991-05-12,0.0,24.475,30.225,15.65,52.5,0.0,29.24,38.1,19.29,13.47,1991,5,MAM
1991-05-13,0.0,25.275,31.0,19.55,52.25,0.0,30.68,39.59,22.49,14.48,1991,5,MAM
1991-05-14,1.0,24.025,30.075,18.625,57.0,0.0,30.83,39.24,23.54,16.25,1991,5,MAM
1991-05-15,0.0,25.875,32.325,18.15,49.75,0.0,31.82,40.28,22.75,13.83,1991,5,MAM
1991-05-16,1.4500000000000002,26.225,33.075,19.075,54.75,0.0,31.52,39.02,23.77,14.03,1991,5,MAM
1991-05-17,0.0,26.425,32.4,18.55,51.25,0.01,32.59,39.9,25.13,18.5,1991,5,MAM
1991-05-18,0.0,27.3,33.2,19.275,47.5,0.05,33.25,40.3,27.05,22.18,1991,5,MAM
1991-05-19,1.4,27.25,34.05,20.725,52.75,0.0,33.51,41.08,25.58,21.12,1991,5,MAM
1991-05-20,34.05,21.925,25.725,17.875,77.75,0.01,30.31,37.7,23.09,34.52,1991,5,MAM
1991-05-21,15.35,21.425,26.15,17.325,72.5,3.57,30.54,36.49,24.28,33.05,1991,5,MAM
1991-05-22,0.1,23.225,28.925,17.725,62.25,0.2,29.8,37.01,23.02,29.91,1991,5,MAM
1991-05-23,1.65,25.075,30.825,17.475,56.5,0.0,30.65,38.45,22.7,21.92,1991,5,MAM
1991-05-24,4.199999999999999,24.174999999999997,29.0,19.625,70.25,0.0,32.65,40.89,24.09,20.49,1991,5,MAM
1991-05-25,0.0,25.2,30.875,20.325,58.75,0.42,31.82,39.0,24.86,23.99,1991,5,MAM
1991-05-26,0.1,24.1,29.8,18.45,61.75,0.04,32.26,40.16,24.24,17.35,1991,5,MAM
1991-05-27,0.8500000000000001,25.275,31.625,18.05,56.0,0.04,31.98,39.99,22.53,12.14,1991,5,MAM
1991-05-28,0.0,25.525,32.0,17.75,53.5,0.0,31.96,40.13,23.37,12.1,1991,5,MAM
1991-05-29,0.35,26.1,32.775000000000006,18.5,52.5,0.0,32.25,41.49,23.3,12.34,1991,5,MAM
1991-05-30,0.0,25.975,32.875,17.875,49.75,0.0,32.07,39.87,23.44,13.12,1991,5,MAM
1991-05-31,0.0,26.35,33.85,17.375,48.0,0.0,33.42,42.11,23.12,9.82,1991,5,MAM
1991-06-01,0.0,27.55,34.9,17.975,43.75,0.0,34.1,42.99,22.65,7.3,1991,6,JJ
1991-06-02,0.0,28.849999999999998,36.325,19.450000000000003,43.75,0.0,35.34,44.61,23.62,6.52,1991,6,JJ
1991-06-03,0.0,29.575,37.325,20.4,41.0,0.0,36.65,44.7,27.59,6.25,1991,6,JJ
1991-06-04,0.0,30.475,37.675,20.8,39.5,0.0,36.81,45.29,28.54,7.7,1991,6,JJ
1991-06-05,0.0,31.525,38.2,21.95,40.0,0.0,37.14,46.12,25.85,8.04,1991,6,JJ
1991-06-06,0.0,30.1,35.025,24.1,55.0,0.0,36.5,44.26,26.21,9.0,1991,6,JJ
1991-06-07,0.0,31.125,36.8,23.8,50.25,0.0,36.54,45.01,27.56,10.55,1991,6,JJ
1991-06-08,0.0,32.075,38.15,23.625,46.0,0.0,37.32,45.49,27.25,11.37,1991,6,JJ
1991-06-09,0.75,33.225,38.975,27.4,46.75,0.11,36.8,46.54,26.55,16.28,1991,6,JJ
1991-06-10,69.05,25.075000000000003,28.475,20.975,77.0,0.09,37.02,45.04,28.61,19.63,1991,6,JJ
1991-06-11,2.25,25.225,30.025,20.85,75.0,2.44,34.5,41.01,28.34,29.07,1991,6,JJ
1991-06-12,0.0,26.825,31.85,20.6,67.75,0.0,34.54,41.73,27.95,24.72,1991,6,JJ
1991-06-13,0.0,28.55,33.65,21.875,67.5,0.0,35.89,44.13,27.14,17.67,1991,6,JJ
1991-06-14,0.0,29.95,34.825,23.975,64.5,0.0,36.25,44.41,26.44,14.08,1991,6,JJ
1991-06-15,0.2,29.025,33.275,23.925,69.0,0.0,36.31,44.1,26.79,17.13,1991,6,JJ
1991-06-16,0.1,29.325000000000003,34.45,23.65,67.0,0.0,37.26,44.82,28.14,14.48,1991,6,JJ
1991-06-17,0.0,29.8,35.05,23.775,59.0,0.0,37.5,44.91,28.72,16.11,1991,6,JJ
1991-06-18,2.4000000000000004,27.65,32.575,22.275,63.0,0.02,35.79,42.06,28.74,17.31,1991,6,JJ
1991-06-19,8.6,25.3,29.15,21.8,69.75,1.29,31.79,37.57,26.54,32.86,1991,6,JJ
1991-06-20,0.25,26.75,31.65,21.6,62.75,0.2,31.72,38.46,24.68,31.78,1991,6,JJ
1991-06-21,0.0,27.475,32.175,21.525,60.0,0.13,33.18,40.59,25.83,20.91,1991,6,JJ
1991-06-22,0.0,27.5,32.925,21.275,57.0,0.14,33.09,40.62,24.76,21.49,1991,6,JJ
1991-06-23,0.0,28.3,34.4,20.85,50.5,0.0,34.4,41.9,26.42,17.62,1991,6,JJ
1991-06-24,0.0,28.475,35.65,20.075000000000003,41.0,0.0,34.76,42.84,26.18,15.79,1991,6,JJ
1991-06-25,0.0,28.85,36.15,19.7,35.0,0.0,34.9,43.49,25.97,12.64,1991,6,JJ
1991-06-26,0.0,30.325,37.725,21.15,33.75,0.02,34.64,43.63,24.76,10.04,1991,6,JJ
1991-06-27,0.0,30.475,37.85,21.175,32.5,0.0,35.63,44.32,26.62,10.33,1991,6,JJ
1991-06-28,0.0,31.35,38.75,21.625,31.75,0.0,36.53,44.65,28.14,10.98,1991,6,JJ
1991-06-29,0.0,32.2,39.325,22.25,31.25,0.0,36.59,44.7,27.99,14.35,1991,6,JJ
1991-06-30,0.0,32.675,40.225,23.95,33.25,0.0,38.01,45.7,27.63,12.25,1991,6,JJ
1991-07-01,0.6499999999999999,32.85,39.975,24.25,37.25,0.0,38.01,46.04,29.29,12.47,1991,7,Monsoon
1991-07-02,0.25,32.9,39.25,25.325000000000003,42.25,0.0,37.29,45.16,28.86,15.54,1991,7,Monsoon
1991-07-03,0.30000000000000004,32.95,38.95,26.225,42.25,0.0,37.74,45.23,28.77,14.97,1991,7,Monsoon
1991-07-04,0.6000000000000001,32.6,38.775,27.15,46.75,0.0,37.54,45.67,28.9,15.04,1991,7,Monsoon
1991-07-05,2.05,30.65,36.8,25.65,58.0,0.0,36.83,43.88,29.38,20.03,1991,7,Monsoon
1991-07-06,0.6000000000000001,29.35,33.9,24.575,63.25,6.42,35.61,41.78,29.03,24.32,1991,7,Monsoon
1991-07-07,0.0,30.900000000000002,36.25,24.275,49.25,1.71,34.75,41.45,27.21,27.93,1991,7,Monsoon
1991-07-08,0.0,32.2,37.725,24.55,43.0,0.18,35.58,43.02,27.18,25.48,1991,7,Monsoon
1991-07-09,1.05,32.275,38.225,26.55,47.5,0.0,37.16,44.74,28.28,21.29,1991,7,Monsoon
1991-07-10,1.2,31.775,36.7,26.325,54.5,0.0,37.15,44.95,28.8,21.84,1991,7,Monsoon
1991-07-11,8.4,28.725,33.1,24.675,68.75,0.25,36.26,43.94,27.78,20.84,1991,7,Monsoon
1991-07-12,12.35,27.65,31.875,23.95,75.75,0.0,35.56,42.83,27.82,21.78,1991,7,Monsoon
1991-07-13,152.2,22.95,24.85,21.25,85.5,25.51,32.96,40.12,26.94,37.15,1991,7,Monsoon
1991-07-14,57.150000000000006,24.075,28.675,20.925,76.75,31.56,31.21,36.6,26.25,53.35,1991,7,Monsoon
1991-07-15,0.0,27.675,32.900000000000006,20.75,70.25,2.41,31.84,39.12,23.74,48.75,1991,7,Monsoon
1991-07-16,0.0,29.1,34.0,23.2,70.0,0.06,33.82,41.34,25.62,42.29,1991,7,Monsoon
1991-07-17,2.85,29.3,32.849999999999994,25.349999999999998,75.75,0.0,33.76,41.06,26.54,41.37,1991,7,Monsoon
1991-07-18,4.25,27.75,31.35,24.5,83.5,0.03,33.55,40.53,26.48,42.2,1991,7,Monsoon
1991-07-19,4.0,27.925,31.425,24.674999999999997,84.0,8.93,33.64,41.05,26.07,46.26,1991,7,Monsoon
1991-07-20,3.6,27.775,30.975,24.4,84.0,0.76,33.74,40.95,26.42,46.11,1991,7,Monsoon
1991-07-21,48.85,25.2,26.925,23.475,91.0,0.85,32.93,39.12,27.75,48.13,1991,7,Monsoon
1991-07-22,1.85,26.55,30.05,22.95,84.0,8.09,31.72,37.32,26.34,55.17,1991,7,Monsoon
1991-07-23,0.05,27.65,31.725,22.725,77.5,0.13,32.11,38.9,24.89,45.42,1991,7,Monsoon
1991-07-24,0.7,28.1,32.325,24.05,80.5,0.02,32.55,40.7,24.17,42.03,1991,7,Monsoon
1991-07-25,2.25,27.475,31.2,24.325,83.75,0.0,33.37,39.99,27.38,39.53,1991,7,Monsoon
1991-07-26,0.5,28.475,32.4,24.075000000000003,79.25,10.7,32.54,39.88,24.64,47.46,1991,7,Monsoon
1991-07-27,0.05,29.025,33.075,24.525,77.25,0.0,33.48,40.36,26.04,43.73,1991,7,Monsoon
1991-07-28,0.2,29.625,33.85,25.375,75.75,0.0,34.49,42.57,26.44,41.34,1991,7,Monsoon
1991-07-29,10.95,29.325,33.95,24.35,76.5,0.0,34.26,42.75,26.85,39.82,1991,7,Monsoon
1991-07-30,2.6,27.15,30.125,24.1,84.5,2.7,32.63,39.35,26.41,49.91,1991,7,Monsoon
1991-07-31,6.0,27.2,30.3,24.325,86.0,26.87,31.82,37.0,26.33,56.93,1991,7,Monsoon
1991-08-01,3.0,26.575,29.2,23.95,85.25,8.01,32.08,37.4,26.08,56.07,1991,8,Monsoon
1991-08-02,1.6,27.65,31.325,24.05,82.75,31.43,31.57,36.25,27.17,58.19,1991,8,Monsoon
1991-08-03,5.25,28.6,33.125,23.25,78.5,0.09,31.8,38.23,25.29,54.83,1991,8,Monsoon
1991-08-04,6.05,25.45,28.025,22.9,87.0,0.1,32.48,39.12,26.28,51.55,1991,8,Monsoon
1991-08-05,4.7,25.55,29.05,22.625,87.25,7.46,31.31,37.23,25.91,55.12,1991,8,Monsoon
1991-08-06,0.2,27.55,31.225,23.925,78.75,7.8,30.78,36.99,24.85,56.18,1991,8,Monsoon
1991-08-07,0.8999999999999999,28.174999999999997,31.85,24.299999999999997,79.0,0.0,31.1,37.48,24.65,53.32,1991,8,Monsoon
1991-08-08,9.8,27.3,31.575,22.5,84.5,0.01,31.94,38.65,25.36,50.2,1991,8,Monsoon
1991-08-09,21.549999999999997,24.1,26.2,22.375,89.25,0.05,31.65,39.02,26.28,50.19,1991,8,Monsoon
1991-08-10,26.0,23.775,27.75,20.200000000000003,83.0,44.9,28.2,31.65,24.18,59.04,1991,8,Monsoon
1991-08-11,0.0,25.925,30.675,19.825,74.5,0.0,28.51,34.4,21.58,53.08,1991,8,Monsoon
1991-08-12,0.0,26.575,31.875,20.95,75.5,0.03,29.84,36.63,22.13,47.02,1991,8,Monsoon
1991-08-13,0.0,27.55,32.35,21.45,76.25,0.0,30.28,37.23,22.44,47.11,1991,8,Monsoon
1991-08-14,0.0,28.475,32.45,23.45,77.25,0.0,31.56,38.09,23.85,45.95,1991,8,Monsoon
1991-08-15,7.75,28.625,32.55,23.099999999999998,79.0,0.0,31.22,37.24,24.69,50.14,1991,8,Monsoon
1991-08-16,10.0,27.475,30.95,23.175,79.25,0.0,31.22,37.25,24.46,49.4,1991,8,Monsoon
1991-08-17,16.4,26.2,29.6,23.525,84.25,0.0,31.89,38.58,25.26,49.34,1991,8,Monsoon
1991-08-18,4.85,26.2,29.2,23.75,85.5,0.48,31.22,37.1,25.55,53.09,1991,8,Monsoon
1991-08-19,2.25,26.400000000000002,29.625,23.525,85.75,4.5,31.22,36.51,26.21,58.66,1991,8,Monsoon
1991-08-20,6.550000000000001,26.2,29.975,23.35,86.0,0.08,31.1,37.12,25.85,58.14,1991,8,Monsoon
1991-08-21,14.549999999999999,24.6,26.775,23.15,90.0,1.71,31.1,36.99,25.37,57.31,1991,8,Monsoon
1991-08-22,2.5,26.125,29.525,22.675,82.0,5.01,30.0,35.78,24.79,62.06,1991,8,Monsoon
1991-08-23,1.05,26.275,30.425,22.525,82.5,1.77,29.27,35.08,24.52,64.84,1991,8,Monsoon
1991-08-24,0.5,26.55,30.825,22.15,79.75,0.38,29.65,36.13,23.83,61.04,1991,8,Monsoon
1991-08-25,0.0,27.45,31.575,22.7,75.5,0.07,30.73,37.57,24.68,56.68,1991,8,Monsoon
1991-08-26,0.05,28.125,32.225,23.85,77.75,0.0,31.39,38.37,24.19,50.77,1991,8,Monsoon
