row,col,spatial_block,proxy_class,role
436,302,64,1,test
421,200,62,3,buffer
151,472,27,3,development
441,232,63,3,test
276,22,40,3,development
119,459,16,5,development
34,0,0,3,development
552,44,80,2,development
573,427,86,4,development
32,122,1,3,development
183,316,24,5,test
508,591,78,4,development
277,575,48,5,development
86,502,17,5,development
602,338,85,4,buffer
454,127,61,1,development
209,581,38,6,development
51,552,8,5,development
517,39,70,1,development
489,5,70,2,development
645,218,93,1,test
381,42,50,1,development
584,408,86,3,development
534,148,72,4,buffer
410,556,68,5,development
76,51,10,1,development
242,334,34,3,test
468,241,63,1,test
200,228,23,2,test
281,241,43,1,test
171,296,24,5,test
462,420,66,4,development
506,494,77,4,development
425,519,67,4,development
82,18,10,3,development
187,307,24,5,test
580,500,87,1,development
426,172,62,3,buffer
63,341,5,2,buffer
152,128,21,3,development
44,225,3,3,test
22,523,7,5,development
262,305,34,3,test
345,445,56,5,development
281,499,47,5,development
290,393,45,1,buffer
328,583,48,4,development
419,415,66,5,development
628,112,91,2,development
542,301,84,4,test
385,91,51,1,development
611,97,91,5,development
537,131,81,1,development
444,193,62,1,buffer
639,74,91,2,development
612,150,92,2,buffer
270,251,43,1,test
1,5,0,3,development
599,561,88,1,development
49,20,0,3,development
189,408,26,5,development
609,184,92,1,buffer
358,114,51,3,development
545,45,80,2,development
6,254,3,3,test
139,109,21,3,development
74,182,12,3,buffer
610,367,95,4,buffer
244,359,35,1,buffer
89,257,13,3,test
568,70,81,2,development
162,471,27,3,development
650,569,98,3,development
306,549,48,5,development
92,221,13,1,test
74,48,10,1,development
576,91,81,2,development
521,87,71,2,development
12,585,8,4,development
652,593,98,3,development
341,43,50,4,development
164,202,23,4,test
121,23,10,2,development
594,389,85,4,buffer
145,339,25,5,buffer
499,449,76,4,development
65,604,9,5,development
29,94,1,3,development
551,410,86,4,development
548,404,86,4,development
488,321,74,3,test
290,401,45,1,buffer
293,256,43,1,test
258,446,36,1,development
441,523,67,4,development
255,355,35,3,buffer
258,95,31,3,development
487,276,74,4,test
469,194,72,1,buffer
122,115,11,2,development
545,46,80,2,development
272,159,42,3,buffer
44,491,7,5,development
531,286,74,4,test
563,231,83,2,test
650,339,95,4,buffer
416,561,68,4,development
251,163,32,1,buffer
400,290,54,2,test
553,468,86,1,development
41,154,2,3,buffer
429,135,62,1,buffer
197,329,24,4,test
248,323,34,3,test
11,101,1,3,development
367,251,53,3,test
152,406,26,5,development
57,576,8,5,development
3,360,5,3,buffer
569,327,84,4,test
245,581,38,4,development
301,373,45,4,buffer
428,126,61,1,development
601,516,87,1,development
645,2,90,2,development
579,34,80,2,development
194,401,25,2,buffer
496,200,72,2,buffer
262,486,37,5,development
259,149,32,3,buffer
651,89,91,2,development
617,549,98,1,development
173,242,23,5,test
293,581,48,4,development
319,213,43,1,test
185,339,25,4,buffer
237,176,32,1,buffer
485,130,71,3,development
172,241,23,5,test
122,74,11,3,development
586,510,87,1,development
17,78,1,1,development
619,286,94,1,test
117,18,10,2,development
243,281,34,2,test
439,447,66,4,development
617,90,91,2,development
177,114,21,3,development
460,180,62,1,buffer
212,31,30,3,development
200,243,23,1,test
302,36,40,4,development
92,6,10,2,development
470,563,78,5,development
8,494,7,5,development
314,247,43,1,test
572,74,81,2,development
124,193,12,3,buffer
495,46,70,4,development
202,185,32,1,buffer
129,79,11,3,development
645,562,98,3,development
607,46,90,3,development
116,159,12,1,buffer
623,608,99,3,development
345,567,58,4,development
98,7,10,2,development
72,333,14,2,test
524,330,74,5,test
645,435,96,3,development
279,122,41,1,development
196,602,28,3,development
283,538,48,3,development
21,379,5,4,buffer
313,436,46,4,development
476,589,78,4,development
321,243,43,3,test
182,98,21,3,development
406,396,65,3,buffer
149,512,27,6,development
356,475,57,4,development
202,338,35,5,buffer
474,56,70,1,development
20,224,3,3,test
206,462,36,1,development
383,574,58,4,development
293,497,47,4,development
427,153,62,1,buffer
297,296,44,4,test
589,1,80,2,development
336,169,52,1,buffer
179,289,24,5,test
43,299,4,1,test
40,136,2,3,buffer
23,214,3,3,test
173,345,25,5,buffer
374,497,57,4,development
637,210,93,1,test
469,570,78,5,development
385,471,57,4,development
583,125,81,2,development
387,90,51,1,development
550,98,81,2,development
107,608,19,4,development
550,81,81,2,development
508,395,75,5,buffer
131,214,13,4,test
438,194,62,1,buffer
489,224,73,4,test
556,124,81,2,development
544,36,80,2,development
309,22,40,1,development
471,323,74,1,test
188,449,26,3,development
614,144,92,2,buffer
607,74,91,2,development
524,570,78,4,development
604,75,91,5,development
93,75,11,3,development
159,111,21,3,development
219,60,30,3,development
77,53,10,1,development
241,84,31,3,development
329,615,49,4,development
514,558,78,4,development
430,474,67,5,development
372,466,56,4,development
210,8,30,3,development
358,588,58,5,development
91,56,10,1,development
477,140,72,1,buffer
299,455,46,4,development
251,143,32,1,buffer
67,209,13,1,test
389,99,51,1,development
184,299,24,5,test
167,416,26,5,development
221,121,31,3,development
337,598,58,4,development
159,276,24,4,test
645,62,90,2,development
542,94,81,2,development
376,276,54,5,test
593,342,85,4,buffer
542,163,82,4,buffer
160,57,20,3,development
160,274,24,4,test
568,41,80,2,development
624,608,99,3,development
144,566,28,5,development
163,462,26,5,development
117,586,18,4,development
41,533,7,5,development
313,30,40,1,development
546,388,85,4,buffer
311,138,42,1,buffer
7,17,0,3,development
651,10,90,2,development
517,407,76,5,development
182,383,25,2,buffer
278,381,45,1,buffer
159,444,26,5,development
353,397,55,5,buffer
491,128,71,1,development
584,372,85,4,buffer
133,23,10,2,development
558,118,81,2,development
147,457,26,5,development
164,277,24,2,test
74,268,14,3,test
296,188,42,3,buffer
524,203,73,5,test
313,132,41,1,development
469,21,70,1,development
598,586,88,4,development
249,456,36,2,development
241,302,34,2,test
32,511,7,5,development
277,357,45,3,buffer
255,2,30,1,development
29,203,3,3,test
381,257,53,5,test
597,145,82,2,buffer
362,531,57,4,development
381,476,57,4,development
373,375,55,5,buffer
570,68,81,2,development
540,67,81,2,development
335,424,56,5,development
478,421,76,4,development
405,79,61,1,development
221,83,31,3,development
125,508,17,4,development
205,128,31,1,development
311,548,48,5,development
111,167,12,1,buffer
13,544,8,5,development
612,155,92,2,buffer
75,338,15,2,buffer
480,428,76,4,development
299,177,42,3,buffer
96,86,11,3,development
558,48,80,2,development
146,516,27,6,development
376,359,55,5,buffer
313,405,46,4,development
507,180,72,5,buffer
122,10,10,2,development
570,71,81,2,development
186,297,24,5,test
71,323,14,4,test
469,333,74,1,test
74,482,17,5,development
600,65,80,2,development
255,232,33,3,test
335,298,54,1,test
346,234,53,1,test
231,74,31,1,development
115,236,13,2,test
558,590,88,5,development
293,577,48,4,development
37,551,8,5,development
165,292,24,5,test
497,62,70,3,development
229,483,37,4,development
574,537,88,1,development
541,221,83,2,test
73,408,16,1,development
159,426,26,5,development
5,118,1,3,development
154,101,21,3,development
388,31,50,1,development
336,156,52,1,buffer
153,250,23,5,test
276,60,40,3,development
174,402,26,5,development
628,130,91,2,development
340,58,50,4,development
372,344,55,1,buffer
555,53,80,2,development
236,32,30,3,development
131,483,17,5,development
483,452,76,4,development
154,45,20,2,development
543,399,85,4,buffer
619,539,98,1,development
96,438,16,3,development
223,584,38,6,development
625,172,92,2,buffer
387,257,53,4,test
383,465,56,4,development
399,532,57,4,development
71,602,18,5,development
309,457,46,5,development
162,590,28,1,development
573,71,81,2,development
612,131,91,2,development
545,527,87,2,development
102,42,10,3,development
592,14,80,2,development
560,106,81,2,development
433,445,66,5,development
497,102,71,1,development
578,552,88,1,development
75,347,15,2,buffer
253,494,37,4,development
387,347,55,1,buffer
175,307,24,5,test
167,346,25,5,buffer
93,523,17,1,development
479,154,72,3,buffer
326,614,49,4,development
9,327,4,1,test
358,511,57,4,development
89,379,15,4,buffer
341,291,54,3,test
127,6,10,2,development
527,288,74,5,test
474,415,76,4,development
610,245,93,3,test
472,416,76,4,development
210,366,35,4,buffer
312,158,42,1,buffer
121,605,19,4,development
439,330,64,3,test
195,101,21,3,development
285,372,45,1,buffer
359,433,56,5,development
404,421,66,5,development
298,460,46,4,development
564,405,86,4,development
497,243,73,4,test
227,597,38,6,development
282,422,46,4,development
197,219,23,2,test
581,99,81,2,development
497,202,73,3,test
532,77,71,2,development
178,78,21,1,development
498,398,75,5,buffer
499,39,70,3,development
25,41,0,3,development
365,192,52,1,buffer
543,51,80,2,development
420,462,66,5,development
256,398,35,2,buffer
347,5,50,1,development
145,290,24,5,test
139,221,23,1,test
210,560,38,6,development
184,253,23,2,test
556,79,81,2,development
593,234,83,3,test
387,380,55,3,buffer
382,259,53,5,test
206,233,33,2,test
384,529,57,4,development
594,526,87,1,development
201,31,30,3,development
354,488,57,4,development
225,200,32,3,buffer
94,209,13,6,test
428,428,66,5,development
301,422,46,4,development
12,475,7,1,development
360,248,53,3,test
273,97,41,3,development
127,251,13,2,test
476,411,76,4,development
615,0,90,2,development
248,372,35,5,buffer
189,581,28,6,development
365,599,58,4,development
542,421,86,4,development
507,220,73,5,test
439,176,62,1,buffer
133,400,15,5,buffer
119,347,15,5,buffer
493,193,72,2,buffer
408,442,66,5,development
199,336,25,4,buffer
489,299,74,4,test
401,471,57,5,development
110,249,13,2,test
582,12,80,2,development
196,608,29,3,development
566,270,84,4,test
596,519,87,1,development
71,283,14,3,test
587,34,80,2,development
618,9,90,5,development
594,587,88,1,development
404,404,66,4,development
650,561,98,3,development
224,597,38,6,development
583,14,80,2,development
242,28,30,1,development
111,532,17,3,development
30,239,3,3,test
111,533,17,3,development
45,525,7,2,development
84,221,13,3,test
625,314,94,5,test
382,62,50,3,development
374,203,53,3,test
373,514,57,1,development
137,487,27,4,development
199,435,26,1,development
327,18,40,1,development
190,220,23,2,test
24,301,4,1,test
79,494,17,5,development
384,37,50,1,development
573,97,81,2,development
412,500,67,5,development
423,586,68,4,development
587,3,80,2,development
505,60,70,3,development
525,248,73,5,test
400,470,57,5,development
535,84,71,2,development
565,201,83,1,test
511,590,78,4,development
625,612,99,3,development
371,58,50,1,development
102,523,17,1,development
266,178,32,1,buffer
63,460,6,5,development
568,233,83,5,test
135,267,23,5,test
169,160,22,2,buffer
50,132,1,3,development
114,494,17,5,development
147,514,27,6,development
171,314,24,5,test
548,614,89,5,development
271,61,40,3,development
399,61,50,1,development
170,243,23,5,test
278,188,42,3,buffer
22,500,7,5,development
434,560,68,4,development
238,115,31,1,development
268,551,48,3,development
452,215,63,1,test
437,237,63,4,test
249,121,31,3,development
455,173,62,1,buffer
337,195,52,3,buffer
231,470,37,4,development
605,151,92,2,buffer
618,140,92,2,buffer
33,583,8,5,development
597,446,86,4,development
287,385,45,4,buffer
504,480,77,4,development
40,199,2,3,buffer
101,235,13,3,test
122,280,14,5,test
266,465,36,3,development
270,60,40,3,development
474,353,75,4,buffer
463,605,69,4,development
352,522,57,4,development
239,116,31,1,development
68,380,15,1,buffer
454,213,63,1,test
325,507,47,1,development
518,235,73,5,test
269,252,43,4,test
555,82,81,2,development
262,190,32,3,buffer
58,582,8,3,development
246,467,36,2,development
284,8,40,4,development
96,286,14,1,test
157,427,26,5,development
629,163,92,2,buffer
41,275,4,1,test
404,70,61,1,development
59,344,5,2,buffer
344,544,58,4,development
554,462,86,1,development
354,529,57,4,development
187,432,26,3,development
375,358,55,5,buffer
348,439,56,5,development
641,601,98,3,development
556,73,81,2,development
381,256,53,5,test
234,591,38,6,development
554,324,84,4,test
142,229,23,1,test
256,451,36,3,development
17,293,4,3,test
455,506,67,4,development
494,598,78,4,development
612,205,93,1,test
112,366,15,4,buffer
630,516,97,3,development
103,58,10,3,development
17,135,2,3,buffer
121,160,12,1,buffer
544,35,80,2,development
142,133,21,1,development
183,450,26,1,development
11,106,1,3,development
77,455,16,5,development
545,53,80,2,development
371,574,58,4,development
245,590,38,6,development
512,379,75,5,buffer
11,553,8,5,development
507,222,73,5,test
108,499,17,5,development
338,183,52,1,buffer
98,210,13,2,test
396,556,58,4,development
579,305,84,4,test
209,27,30,3,development
105,576,18,4,development
607,205,93,6,test
267,154,32,1,buffer
297,136,42,1,buffer
551,220,83,5,test
241,153,32,3,buffer
386,45,50,1,development
314,6,40,1,development
593,118,81,2,development
56,275,4,3,test
298,427,46,4,development
378,85,51,3,development
95,120,11,1,development
59,109,1,3,development
58,248,3,1,test
530,415,76,4,development
506,526,77,4,development
360,606,59,4,development
355,377,55,5,buffer
471,557,78,5,development
337,191,52,1,buffer
477,417,76,4,development
10,153,2,3,buffer
222,589,38,6,development
517,362,75,5,buffer
89,521,17,1,development
454,224,63,1,test
282,0,40,4,development
264,176,32,1,buffer
650,548,98,3,development
144,466,26,5,development
26,340,5,2,buffer
212,103,31,3,development
574,200,82,5,buffer
9,62,0,3,development
371,78,51,1,development
250,142,32,1,buffer
613,391,95,4,buffer
421,234,63,4,test
551,66,80,2,development
65,522,7,5,development
279,37,40,3,development
328,189,42,1,buffer
125,367,15,4,buffer
455,203,63,1,test
433,562,68,4,development
503,250,73,4,test
495,559,78,4,development
460,567,68,4,development
515,594,78,4,development
582,64,80,4,development
640,6,90,2,development
15,585,8,4,development
210,574,38,6,development
513,380,75,5,buffer
620,121,91,2,development
76,47,10,1,development
424,253,63,3,test
618,105,91,2,development
269,14,40,3,development
603,363,95,4,buffer
132,526,17,3,development
368,292,54,5,test
348,486,57,1,development
566,82,81,2,development
344,523,57,4,development
8,377,5,3,buffer
9,19,0,3,development
601,382,85,4,buffer
469,267,73,3,test
432,287,64,1,test
529,492,77,1,development
39,546,8,5,development
386,344,55,1,buffer
294,178,42,1,buffer
221,93,31,4,development
482,165,72,1,buffer
492,358,75,5,buffer
71,418,16,3,development
222,513,37,5,development
152,126,21,3,development
554,308,84,5,test
156,154,22,2,buffer
146,81,21,1,development
611,234,93,6,test
187,236,23,2,test
314,75,41,3,development
26,518,7,5,development
236,58,30,3,development
160,353,25,5,buffer
106,97,11,3,development
59,547,8,5,development
618,218,93,1,test
214,547,38,6,development
124,257,13,2,test
89,216,13,6,test
565,443,86,5,development
587,203,83,4,test
270,522,47,3,development
248,42,30,3,development
336,32,50,1,development
15,209,3,3,test
118,34,10,5,development
246,462,36,2,development
547,59,80,2,development
141,279,24,5,test
74,181,12,3,buffer
0,108,1,3,development
4,123,1,3,development
306,139,42,1,buffer
505,59,70,3,development
137,383,25,5,buffer
585,507,87,1,development
628,310,94,5,test
506,424,76,4,development
93,175,12,3,buffer
243,181,32,1,buffer
552,132,81,2,development
602,84,81,2,development
387,564,58,4,development
94,453,16,5,development
598,474,87,4,development
99,445,16,1,development
102,85,11,3,development
175,309,24,5,test
295,170,42,1,buffer
327,202,43,3,test
445,21,60,3,development
50,64,0,3,development
138,126,21,2,development
633,209,93,1,test
277,281,44,3,test
275,39,40,3,development
127,471,17,5,development
224,585,38,6,development
81,604,19,5,development
467,192,62,1,buffer
43,393,5,1,buffer
236,100,31,1,development
259,553,38,1,development
516,377,75,5,buffer
300,600,48,4,development
575,312,84,4,test
588,508,87,1,development
410,523,67,4,development
626,508,97,1,development
344,448,56,5,development
195,566,28,4,development
546,74,81,2,development
89,66,10,1,development
518,128,71,1,development
650,541,98,3,development
72,569,18,4,development
530,589,78,5,development
434,440,66,5,development
593,571,88,1,development
562,38,80,2,development
429,521,67,4,development
77,131,11,3,development
594,518,87,3,development
60,486,7,5,development
305,547,48,5,development
129,6,10,2,development
562,77,81,2,development
160,296,24,4,test
443,521,67,4,development
157,414,26,5,development
223,598,38,6,development
374,33,50,1,development
443,35,60,1,development
253,176,32,3,buffer
618,102,91,2,development
164,493,27,6,development
424,442,66,5,development
336,50,50,4,development
395,405,56,4,development
569,88,81,2,development
498,469,77,4,development
378,60,50,1,development
92,406,16,2,development
165,500,27,6,development
556,47,80,2,development
274,402,46,4,development
553,247,83,4,test
140,473,27,5,development
436,149,62,1,buffer
316,403,46,4,development
603,541,98,1,development
578,130,81,2,development
195,429,26,3,development
509,41,70,3,development
145,150,22,2,buffer
427,194,62,1,buffer
537,76,81,2,development
209,479,37,1,development
276,589,48,4,development
119,429,16,4,development
366,534,57,1,development
149,415,26,5,development
31,316,4,3,test
178,296,24,5,test
612,458,96,4,development
236,589,38,6,development
653,593,98,3,development
236,588,38,6,development
283,318,44,1,test
502,300,74,4,test
466,181,62,1,buffer
291,73,41,1,development
560,164,82,1,buffer
342,205,53,1,test
258,553,38,1,development
339,77,51,3,development
512,326,74,4,test
237,409,36,5,development
409,613,69,4,development
121,571,18,5,development
393,228,53,5,test
264,608,39,4,development
39,119,1,3,development
310,185,42,3,buffer
354,279,54,3,test
518,328,74,5,test
125,185,12,3,buffer
138,115,21,3,development
301,614,49,4,development
90,288,14,1,test
168,247,23,5,test
455,444,66,4,development
378,292,54,5,test
606,222,93,6,test
81,67,11,1,development
228,443,36,2,development
497,271,74,5,test
592,114,81,2,development
65,603,9,5,development
549,339,85,4,buffer
605,9,90,2,development
152,400,25,5,buffer
544,396,85,4,buffer
146,184,22,3,buffer
520,229,73,5,test
92,564,18,5,development
549,108,81,2,development
54,340,5,4,buffer
521,82,71,2,development
309,324,44,3,test
489,405,76,5,development
82,422,16,5,development
8,1,0,3,development
388,20,50,1,development
420,379,65,5,buffer
588,277,84,1,test
534,37,70,2,development
45,197,2,3,buffer
168,494,27,6,development
491,613,79,4,development
552,457,86,4,development
314,402,46,4,development
23,490,7,1,development
2,44,0,2,development
596,246,83,1,test
229,77,31,1,development
464,182,62,1,buffer
391,305,54,4,test
